Radar_Type,Azimuth,Elevation,Range,Speed,RCS,Power,Noise,Threat_Type,Attack_Severity
Front,0.030995,0.014979,81.531,32.971,544.287,150.845,116.306,Normal,None
Back,0.173579,0.008272,110.312,-5.519,862.259,154.973,104.825,Normal,None
Front,0.083038,-0.085935,163.123,18.598,440.151,145.986,108.96,Normal,None
Back,0.06682,0.044507,198.587,8.105,637.972,113.491,119.12,Normal,None
Back,0.101215,0.058474,123.387,18.136,325.126,122.894,113.521,Normal,None
Front,0.233271,0.00368,141.687,7.37,546.791,135.183,108.566,Normal,None
Back,-0.119187,-0.066903,140.012,20.906,905.216,156.438,116.716,Normal,None
Back,0.055266,-0.013215,122.077,15.906,195.812,148.891,115.451,Normal,None
Front,0.150805,0.002453,21.331,23.614,799.02,110.445,106.616,Normal,None
Front,-0.125294,0.058845,158.891,8.652,2.488,148.557,101.199,Normal,None
Front,-0.028239,0.087876,155.86,26.553,820.138,127.049,108.184,Normal,None
Front,-0.073282,0.036453,91.173,-6.258,786.697,111.137,102.402,Normal,None
Front,0.169221,-0.019106,156.113,22.49,125.112,115.858,107.822,Normal,None
Back,-0.291355,-0.000155,168.518,17.103,127.68,108.145,101.847,Normal,None
Front,-0.079368,0.042891,79.761,-4.085,61.251,143.041,115.507,Normal,None
Front,-0.13146,0.082985,178.653,-8.836,203.682,125.621,114.085,Normal,None
Back,0.277353,-0.033351,134.993,38.226,487.818,115.092,107.447,Normal,None
Front,0.053683,-0.083814,90.057,14.693,704.98,139.194,111.352,Normal,None
Front,-0.152205,-0.005482,196.962,10.956,303.558,121.665,103.658,Normal,None
Front,-0.161994,0.041521,185.461,6.64,701.36,123.171,113.186,Normal,None
Front,0.248433,0.067861,136.975,35.821,101.223,105.901,110.743,Normal,None
Front,0.253248,-0.0017,146.575,10.339,63.337,117.261,113.263,Normal,None
Front,-0.195388,0.059048,72.149,15.65,267.247,138.081,114.57,Normal,None
Front,-0.257386,-0.082626,156.579,20.806,713.982,139.256,112.873,Normal,None
Front,-0.293174,0.038099,23.278,9.185,960.796,148.507,108.417,Normal,None
Back,-0.280378,0.043767,68.181,7.54,940.708,124.815,106.763,Normal,None
Front,0.066863,0.008467,56.153,2.427,596.02,109.518,100.448,Normal,None
Front,0.086642,0.044572,32.106,25.785,556.487,148.882,112.023,Normal,None
Front,-0.216835,-0.008985,114.493,32.869,582.518,118.832,118.858,Normal,None
Back,-0.02956,0.064523,85.1,35.363,319.026,132.09,114.077,Normal,None
Back,0.273316,-0.051157,57.02,-0.682,233.42,110.108,112.288,Normal,None
Back,0.167458,-0.00967,189.419,17.935,978.377,109.784,103.912,Normal,None
Back,-0.227751,0.057111,154.781,3.398,266.925,113.867,100.823,Normal,None
Front,0.058132,0.036421,198.904,28.154,434.61,123.744,112.91,Normal,None
Back,-0.010825,0.053957,44.15,24.21,512.223,100.258,104.472,Normal,None
Back,0.25399,-0.040741,147.534,30.358,619.853,107.39,112.832,Normal,None
Front,0.122099,-0.059353,40.706,15.142,821.543,134.119,102.542,Normal,None
Front,0.0352,-0.082685,22.775,11.05,798.349,135.493,109.5,Normal,None
Front,0.256502,0.09531,93.323,30.08,551.37,145.39,108.392,Normal,None
Front,0.068358,-0.048854,64.86,25.943,933.182,142.388,100.41,Normal,None
Front,-0.043348,0.020657,67.72,-6.114,557.637,134.135,110.605,Normal,None
Back,0.245168,-0.067354,37.043,3.647,64.743,112.218,115.065,Normal,None
Back,-0.185455,0.059955,183.109,1.25,984.854,139.434,108.762,Normal,None
Back,0.266294,0.080676,190.939,5.853,632.067,155.357,119.144,Normal,None
Front,0.200439,-0.032796,176.237,20.59,174.206,157.01,103.713,Normal,None
Back,0.087983,-0.092522,108.077,29.756,958.454,139.05,116.788,Normal,None
