Throttle_Position,Brake_Pressure,Steering_Angle,Vehicle_Speed,Gear_Position,Threat_Type,Attack_Severity
51.0,136.65,14.1,26.92,N,Normal,None
94.85,159.71,-27.32,9.87,R,Normal,None
10.49,196.88,-21.59,24.42,N,Normal,None
84.5,98.06,28.91,28.73,D,Normal,None
94.35,319.7,-9.66,11.86,P,Normal,None
70.6,270.68,-16.2,11.31,R,Normal,None
59.34,182.37,-23.3,16.41,N,Normal,None
8.37,435.76,-17.54,4.82,P,Normal,None
81.06,375.77,17.12,9.93,D,Normal,None
67.26,384.04,-9.46,28.9,N,Normal,None
14.84,298.49,-9.45,4.13,N,Normal,None
44.55,258.77,20.99,2.61,D,Normal,None
91.53,468.32,1.54,28.24,D,Normal,None
82.6,305.84,-9.79,28.47,D,Normal,None
65.06,338.11,16.61,0.87,N,Normal,None
96.47,438.34,-4.85,1.48,N,Normal,None
5.05,155.47,-10.78,15.45,P,Normal,None
25.27,250.91,-10.76,29.32,P,Normal,None
62.69,457.14,27.31,25.88,R,Normal,None
19.05,323.71,12.4,28.72,D,Normal,None
69.62,174.33,6.53,6.68,D,Normal,None
28.08,42.76,20.19,0.38,P,Normal,None
54.16,379.41,-0.68,24.56,R,Normal,None
66.22,191.64,-2.25,29.3,N,Normal,None
31.44,254.7,-11.48,23.92,N,Normal,None
40.86,243.8,-26.98,27.27,R,Normal,None
0.04,117.84,-13.34,21.24,P,Normal,None
18.6,423.79,-6.06,28.9,D,Normal,None
4.26,327.86,-7.26,2.9,D,Normal,None
45.88,332.33,19.26,28.6,R,Normal,None
4.5,410.95,11.68,19.82,R,Normal,None
19.83,97.52,-6.85,13.58,D,Normal,None
99.52,447.33,-29.45,7.66,N,Normal,None
35.89,346.46,23.15,8.79,D,Normal,None
68.06,337.49,6.41,9.83,N,Normal,None
61.73,279.31,0.14,24.31,R,Normal,None
14.57,170.71,21.58,14.97,R,Normal,None
21.56,12.08,6.63,11.54,D,Normal,None
56.24,235.2,14.43,15.48,N,Normal,None
43.33,365.92,6.26,12.13,D,Normal,None
96.29,274.58,-3.8,25.82,D,Normal,None
28.2,23.08,-11.75,22.77,D,Normal,None
67.93,378.66,-17.85,22.65,P,Normal,None
94.19,179.14,-4.34,20.95,D,Normal,None
72.97,180.69,8.45,13.02,P,Normal,None
78.92,266.6,-2.36,9.22,N,Normal,None
46.47,84.24,-25.96,1.21,R,Normal,None
94.98,32.32,7.5,12.27,R,Normal,None
44.25,293.32,-9.27,29.94,R,Normal,None
47.31,49.54,-21.84,9.89,N,Normal,None
9.51,494.1,13.33,23.16,N,Normal,None
46.52,265.26,21.12,12.27,D,Normal,None
4.28,44.25,12.29,0.95,P,Normal,None
81.42,263.98,-27.02,1.47,R,Normal,None
71.27,324.46,-4.76,21.12,P,Normal,None
39.18,167.17,29.17,23.46,D,Normal,None
11.89,366.38,18.65,8.81,R,Normal,None
54.93,359.6,9.37,5.78,P,Normal,None
12.78,381.8,17.38,22.61,D,Normal,None
70.94,285.35,-24.98,20.37,R,Normal,None
43.21,53.4,-26.41,20.53,N,Normal,None
76.17,493.32,-18.52,16.65,P,Normal,None
69.44,288.68,14.35,16.83,D,Normal,None
25.78,66.69,26.56,3.86,N,Normal,None
0.45,421.88,-13.6,16.22,P,Normal,None
33.83,22.53,-19.46,15.19,N,Normal,None
38.16,191.3,29.56,24.52,R,Normal,None
62.31,289.02,-11.69,8.64,P,Normal,None
30.12,309.91,14.1,0.77,P,Normal,None
43.45,171.2,28.18,27.36,N,Normal,None
42.92,187.29,-16.57,18.64,R,Normal,None
56.49,224.87,-5.77,4.26,N,Normal,None
6.57,306.46,28.39,12.79,D,Normal,None
41.91,29.44,25.92,0.58,P,Normal,None
13.55,267.63,-26.05,19.64,D,Normal,None
57.16,8.27,19.81,2.29,D,Normal,None
97.77,322.0,25.17,11.7,D,Normal,None
88.3,369.29,-5.06,24.15,R,Normal,None
3.16,319.78,17.59,26.83,D,Normal,None
4.37,197.5,-11.46,6.85,P,Normal,None
96.35,178.98,26.4,1.65,P,Normal,None
96.36,406.93,-1.21,19.02,N,Normal,None
2.81,42.33,-14.09,0.4,D,Normal,None
6.98,230.15,-22.63,5.39,D,Normal,None
56.92,407.8,-4.36,7.92,D,Normal,None
41.85,357.12,-21.22,3.9,R,Normal,None
86.94,238.86,22.31,17.54,N,Normal,None
20.79,229.37,8.46,6.0,D,Normal,None
37.44,466.3,-14.63,28.34,N,Normal,None
58.87,456.95,0.34,24.81,P,Normal,None
25.11,269.73,18.36,15.59,D,Normal,None
52.19,491.7,18.36,19.48,P,Normal,None
1.25,367.23,4.41,29.9,D,Normal,None
22.45,364.66,29.79,25.9,D,Normal,None
85.39,398.23,21.56,11.6,D,Normal,None
71.17,23.83,-12.12,15.43,R,Normal,None
24.27,97.34,28.72,26.72,D,Normal,None
25.93,89.32,1.36,26.92,D,Normal,None
83.12,207.81,3.56,16.19,P,Normal,None
62.43,25.72,3.59,29.22,R,Normal,None
91.86,298.86,1.59,11.71,R,Normal,None
28.49,284.3,7.27,5.3,P,Normal,None
52.75,350.35,-12.33,10.12,N,Normal,None
72.08,480.81,-7.37,16.21,N,Normal,None
63.63,202.35,-7.88,24.27,P,Normal,None
38.01,187.04,11.78,18.49,N,Normal,None
77.16,462.93,1.43,16.02,N,Normal,None
65.29,34.68,6.16,23.33,N,Normal,None
25.6,478.14,-20.24,9.68,N,Normal,None
2.59,80.13,9.08,16.26,D,Normal,None
16.62,172.01,10.34,6.57,N,Normal,None
30.57,160.35,-5.94,21.56,D,Normal,None
25.87,71.16,-13.33,8.05,D,Normal,None
12.17,379.0,-22.6,20.45,R,Normal,None
86.85,149.87,-27.62,11.38,D,Normal,None
75.05,4.64,-22.7,27.83,D,Normal,None
90.12,34.48,17.58,5.41,D,Normal,None
84.9,269.63,-28.67,2.92,P,Normal,None
69.72,79.23,22.57,8.85,R,Normal,None
9.83,467.51,26.54,15.81,R,Normal,None
27.35,61.77,11.32,8.07,P,Normal,None
32.99,331.41,-5.23,10.71,P,Normal,None
23.18,320.9,25.76,9.09,R,Normal,None
96.4,139.06,-8.57,16.95,D,Normal,None
34.08,422.44,-8.06,9.77,P,Normal,None
79.12,481.08,18.58,18.48,R,Normal,None
80.68,102.3,-27.02,5.54,R,Normal,None
67.19,209.91,-19.33,25.79,N,Normal,None
12.16,19.3,16.43,28.45,R,Normal,None
23.44,289.54,-27.86,24.57,P,Normal,None
33.27,146.63,-10.74,7.15,N,Normal,None
98.58,448.79,-21.65,8.59,N,Normal,None
90.23,280.84,-19.02,27.08,R,Normal,None
73.21,127.81,-2.75,14.48,D,Normal,None
36.52,188.05,6.21,28.52,P,Normal,None
92.49,372.99,-20.08,27.37,N,Normal,None
80.15,117.33,-16.65,15.95,D,Normal,None
15.3,459.79,7.82,8.82,D,Normal,None
19.19,249.87,14.91,21.25,N,Normal,None
11.98,146.28,7.28,8.18,N,Normal,None
40.38,447.71,10.52,7.17,D,Normal,None
89.12,168.22,25.45,21.12,D,Normal,None
44.95,161.95,13.16,21.47,P,Normal,None
2.66,392.97,13.16,7.91,P,Normal,None
18.21,9.87,29.14,3.25,D,Normal,None
37.13,302.93,-27.83,20.77,R,Normal,None
4.32,304.89,-21.33,29.16,N,Normal,None
39.52,353.64,-1.76,17.15,D,Normal,None
48.32,225.39,21.18,10.9,D,Normal,None
93.21,105.94,-7.11,5.5,P,Normal,None
5.25,487.84,-28.82,8.34,P,Normal,None
43.3,0.65,25.68,13.2,R,Normal,None
75.37,80.14,-28.57,22.81,N,Normal,None
5.13,154.04,-20.54,16.82,P,Normal,None
88.46,251.86,-14.56,4.15,D,Normal,None
68.63,250.82,27.13,13.9,P,Normal,None
56.39,114.83,-2.46,15.23,D,Normal,None
14.29,315.42,6.91,3.94,R,Normal,None
3.17,239.02,2.94,26.5,R,Normal,None
31.19,290.89,24.92,24.46,R,Normal,None
31.21,273.92,1.93,8.19,P,Normal,None
52.46,167.07,7.82,11.6,N,Normal,None
11.06,190.64,-29.34,8.59,D,Normal,None
19.29,469.77,-6.31,8.02,D,Normal,None
88.68,233.39,11.61,28.75,D,Normal,None
19.99,99.56,19.05,12.01,D,Normal,None
94.38,71.41,25.96,18.67,P,Normal,None
11.83,423.74,1.09,26.46,P,Normal,None
50.78,317.79,8.56,4.83,R,Normal,None
87.98,334.77,29.61,16.1,N,Normal,None
99.79,62.3,-11.11,22.48,N,Normal,None
80.07,134.4,23.25,10.42,P,Normal,None
51.67,239.31,-7.66,14.89,R,Normal,None
44.91,399.73,-15.54,1.95,P,Normal,None
41.2,363.19,23.98,21.28,D,Normal,None
0.06,51.43,14.97,24.62,R,Normal,None
20.38,274.91,16.8,9.83,D,Normal,None
39.39,242.34,-26.16,1.08,P,Normal,None
77.91,354.62,18.65,17.29,D,Normal,None
36.61,214.63,6.41,3.61,N,Normal,None
22.42,466.22,-10.99,2.45,N,Normal,None
72.81,440.4,25.83,13.27,N,Normal,None
79.29,90.26,1.9,14.08,D,Normal,None
1.08,424.38,-2.99,29.99,P,Normal,None
94.22,17.18,2.54,13.6,N,Normal,None
17.76,138.47,-6.76,29.91,N,Normal,None
33.37,483.77,-11.02,11.54,D,Normal,None
82.7,256.82,27.05,24.57,P,Normal,None
52.6,245.72,-22.26,27.2,R,Normal,None
64.44,481.0,-7.97,14.76,D,Normal,None
42.72,86.83,1.84,5.79,R,Normal,None
19.68,316.25,-21.14,28.7,R,Normal,None
64.51,177.72,-19.68,0.05,D,Normal,None
79.06,202.09,-19.81,22.93,R,Normal,None
25.37,170.06,4.76,8.55,N,Normal,None
86.31,177.3,8.78,26.7,D,Normal,None
81.21,71.39,9.6,27.96,N,Normal,None
50.64,330.5,-23.55,13.9,D,Normal,None
75.35,493.0,-7.81,8.35,N,Normal,None
57.9,80.93,9.0,16.53,N,Normal,None
95.35,207.5,-25.21,12.01,D,Normal,None
42.47,14.22,6.24,20.98,P,Normal,None
1.21,146.89,21.52,17.52,P,Normal,None
14.22,12.85,2.25,4.59,R,Normal,None
82.68,207.23,16.29,19.27,N,Normal,None
15.48,451.9,-19.25,24.28,N,Normal,None
6.09,38.4,24.66,14.19,R,Normal,None
17.04,284.39,22.53,6.39,R,Normal,None
28.56,32.49,7.05,26.78,R,Normal,None
93.68,452.83,27.51,9.39,D,Normal,None
48.74,13.55,16.3,6.6,N,Normal,None
28.85,149.98,21.87,25.33,R,Normal,None
59.11,488.59,-15.54,15.6,D,Normal,None
74.02,399.19,-4.25,5.41,N,Normal,None
23.73,37.02,29.57,11.06,P,Normal,None
44.38,208.74,8.27,3.17,N,Normal,None
98.22,363.28,-26.73,12.42,P,Normal,None
13.82,111.52,-20.97,9.91,P,Normal,None
40.37,161.64,1.5,3.49,D,Normal,None
98.01,148.95,10.47,1.53,R,Normal,None
20.0,343.69,-20.82,1.0,P,Normal,None
84.6,190.66,15.28,28.23,R,Normal,None
47.67,36.52,-27.23,24.6,R,Normal,None
66.52,463.14,4.38,6.72,N,Normal,None
96.97,267.84,23.71,27.6,P,Normal,None
12.03,174.15,23.29,15.68,N,Normal,None
15.57,317.87,1.38,4.41,R,Normal,None
90.25,449.19,26.37,25.17,D,Normal,None
17.02,239.06,6.23,28.44,N,Normal,None
4.18,326.99,-26.11,20.5,D,Normal,None
57.95,80.22,-17.92,2.93,P,Normal,None
86.51,88.26,-16.59,19.0,N,Normal,None
35.24,104.11,-23.05,20.58,D,Normal,None
58.45,202.98,27.18,0.96,P,Normal,None
21.77,233.31,-0.28,25.86,N,Normal,None
47.39,205.71,-9.02,0.69,N,Normal,None
15.36,462.46,2.32,0.56,N,Normal,None
36.64,117.24,-5.12,19.1,N,Normal,None
82.59,235.21,-10.0,10.26,P,Normal,None
7.4,187.06,-16.67,8.9,D,Normal,None
74.37,255.22,-19.76,23.64,N,Normal,None
9.38,179.42,17.12,16.03,N,Normal,None
10.08,158.47,11.55,6.88,R,Normal,None
58.99,439.89,-8.03,27.4,R,Normal,None
44.73,318.28,22.25,17.95,N,Normal,None
54.86,483.05,-11.55,22.14,D,Normal,None
69.73,498.23,29.35,0.0,R,Normal,None
33.44,14.53,28.0,10.09,N,Normal,None
32.08,362.83,5.86,5.77,D,Normal,None
49.77,123.54,-27.22,7.39,R,Normal,None
28.84,119.08,-28.42,9.12,N,Normal,None
80.4,305.89,3.35,24.48,P,Normal,None
38.36,468.69,6.82,10.39,R,Normal,None
33.72,387.51,-22.54,10.63,R,Normal,None
80.66,249.65,5.23,9.39,N,Normal,None
30.82,226.21,-27.38,25.73,N,Normal,None
0.08,75.63,24.22,4.5,N,Normal,None
3.3,474.03,22.95,26.72,N,Normal,None
25.68,441.83,-24.24,0.82,D,Normal,None
87.77,262.86,1.73,20.72,D,Normal,None
5.67,40.18,10.66,13.09,P,Normal,None
2.89,389.06,18.83,9.83,N,Normal,None
80.52,340.32,5.86,29.09,R,Normal,None
58.31,293.68,23.29,2.85,D,Normal,None
2.69,269.73,14.38,10.21,R,Normal,None
80.13,428.61,-15.38,29.77,N,Normal,None
46.38,85.03,-23.01,26.78,R,Normal,None
63.52,117.32,-17.49,24.81,P,Normal,None
86.05,436.79,14.86,22.2,R,Normal,None
41.71,32.31,-27.86,13.75,N,Normal,None
44.42,341.04,-27.11,1.53,R,Normal,None
24.01,417.02,26.75,18.21,D,Normal,None
63.1,368.91,0.71,19.19,N,Normal,None
16.88,445.31,-12.83,0.17,D,Normal,None
26.18,20.62,9.13,19.95,D,Normal,None
82.29,167.79,-20.64,2.22,R,Normal,None
52.11,243.4,-13.38,6.62,D,Normal,None
72.43,81.54,-0.57,23.96,P,Normal,None
2.91,491.77,-19.95,13.28,P,Normal,None
66.4,238.34,28.8,20.51,P,Normal,None
5.06,160.6,-19.38,1.33,R,Normal,None
21.14,189.78,-20.79,29.29,N,Normal,None
93.39,475.32,-19.45,3.19,D,Normal,None
25.09,368.38,13.82,24.69,N,Normal,None
51.7,293.35,21.29,25.26,P,Normal,None
5.69,278.6,-8.39,25.96,R,Normal,None
11.04,263.2,-4.5,27.02,R,Normal,None
55.57,352.44,-26.26,12.51,D,Normal,None
36.82,469.34,-21.67,8.01,R,Normal,None
95.35,448.02,3.05,25.1,P,Normal,None
86.35,338.28,7.65,6.92,P,Normal,None
19.64,361.62,-14.32,25.28,P,Normal,None
12.98,123.0,1.15,5.4,P,Normal,None
27.32,51.06,-28.74,7.08,R,Normal,None
80.41,386.9,24.4,16.76,N,Normal,None
29.98,334.8,7.81,0.58,P,Normal,None
54.45,329.83,12.15,19.06,D,Normal,None
29.93,260.89,-28.37,2.06,N,Normal,None
10.57,253.07,-3.6,1.44,D,Normal,None
47.93,119.49,-18.76,12.71,P,Normal,None
65.39,76.75,-18.77,24.77,N,Normal,None
67.86,220.78,-27.31,6.98,N,Normal,None
85.12,114.42,-7.15,13.38,N,Normal,None
5.85,206.65,-22.52,12.72,R,Normal,None
16.51,471.1,7.96,17.47,R,Normal,None
76.75,318.77,-16.34,0.14,R,Normal,None
11.2,454.14,28.55,17.03,D,Normal,None
70.73,330.74,-22.27,9.98,D,Normal,None
75.55,234.23,10.98,0.69,P,Normal,None
57.69,251.61,-19.24,9.72,N,Normal,None
6.57,453.69,5.42,24.81,N,Normal,None
26.76,407.28,-23.22,3.45,R,Normal,None
2.71,474.39,28.98,20.22,P,Normal,None
