Rotation_X,Rotation_Y,Rotation_Z,Position_X,Rotation_Q1,Rotation_Q2,Rotation_Q3,Position_Y,Velocity_X,Velocity_Y,Velocity_Z,Position_Z,Bias1,Bias2,Bias3,Bias4,Threat_Type,Attack_Severity
-0.98283,0.42897,0.9401,4074384.89388,-0.85771,0.91507,0.67774,1491502.61292,0.015,4.876,2.95,4608043.15849,0.0,0.0,0.0,0.0,Normal,None
0.63889,0.53009,0.89134,4400525.73696,-0.37625,-0.30354,0.62996,1404283.92509,-1.312,1.362,-4.232,4639175.42074,0.0,0.0,0.0,0.0,Normal,None
-0.60078,-0.32068,-0.35347,4388133.65323,-0.08947,-0.71826,0.59941,1459131.91189,-4.866,1.688,2.737,4660282.23588,0.0,0.0,0.0,0.0,Normal,None
0.82883,0.40677,0.44866,4150706.82931,-0.87125,-0.21313,0.77003,1464412.77766,3.556,-1.384,-0.675,4637272.73472,0.0,0.0,0.0,0.0,Normal,None
-0.13804,-0.9206,0.33759,4931829.09387,-0.87263,0.19872,-0.70177,1464212.15486,0.012,-2.629,1.424,4626253.87116,0.0,0.0,0.0,0.0,Normal,None
0.32983,-0.64227,-0.30879,4964313.84228,-0.50611,-0.38071,0.79523,1449899.38778,-0.254,1.254,-1.43,4651010.68269,0.0,0.0,0.0,0.0,Normal,None
0.56682,0.48475,-0.83222,4179319.97936,-0.38894,0.06663,-0.54108,1417865.24033,2.418,4.031,4.552,4624264.66001,0.0,0.0,0.0,0.0,Normal,None
-0.5214,0.85431,-0.12017,4871563.31589,-0.5772,0.83388,0.02462,1449023.00667,2.567,-3.995,-1.546,4635025.2783,0.0,0.0,0.0,0.0,Normal,None
-0.47296,0.57611,-0.17057,4841950.48078,-0.93857,0.1106,-0.83097,1463026.40667,4.183,4.329,0.571,4657608.49226,0.0,0.0,0.0,0.0,Normal,None
0.24278,-0.15918,-0.0427,4276917.26266,0.94698,0.57211,-0.7227,1430409.4544,-4.174,-0.518,2.483,4636633.11311,0.0,0.0,0.0,0.0,Normal,None
0.00929,0.90546,0.91186,4636558.31319,-0.17393,-0.44327,-0.22034,1487419.23666,4.648,1.36,1.609,4623827.5632,0.0,0.0,0.0,0.0,Normal,None
0.75816,-0.3396,0.44822,4506930.43791,-0.53191,-0.33529,-0.48406,1438409.66501,-1.862,1.891,-1.272,4642782.32834,0.0,0.0,0.0,0.0,Normal,None
0.26002,0.93855,0.32093,4355253.16635,-0.94028,0.41433,-0.37577,1448086.0698,3.359,4.506,-4.672,4603433.8557,0.0,0.0,0.0,0.0,Normal,None
-0.24516,0.55677,-0.86036,4860076.23399,-0.06642,-0.28479,0.01685,1427957.08097,-0.287,2.737,1.653,4698169.99869,0.0,0.0,0.0,0.0,Normal,None
-0.30391,-0.87989,0.46012,4306887.26669,0.94875,-0.7396,0.39609,1454687.55457,3.03,0.32,1.684,4679853.50801,0.0,0.0,0.0,0.0,Normal,None
