X,Y,Z,Intensity,Threat_Type,Attack_Severity
-10.558,-20.478,1.324,222.32,Normal,None
-19.058,-48.951,1.393,63.369,Normal,None
42.692,-1.764,-4.099,147.528,Normal,None
-7.153,9.345,1.085,174.685,Normal,None
30.941,11.727,4.476,148.612,Normal,None
38.366,4.447,-4.556,221.132,Normal,None
45.453,3.789,-2.12,198.289,Normal,None
26.235,25.679,-4.595,74.854,Normal,None
47.041,-8.375,3.835,213.669,Normal,None
-35.031,29.765,-0.22,44.548,Normal,None
-19.635,-22.622,-4.38,56.966,Normal,None
-44.101,-49.258,2.551,69.52,Normal,None
-47.967,-49.802,0.356,174.068,Normal,None
-38.144,14.417,-2.875,38.107,Normal,None
-27.926,14.05,-0.735,239.995,Normal,None
3.262,-31.38,-0.785,166.475,Normal,None
-21.338,-0.233,3.053,68.25,Normal,None
39.108,-48.7,3.723,97.96,Normal,None
15.788,2.518,2.788,250.988,Normal,None
48.902,1.428,4.682,58.966,Normal,None
1.344,-12.499,3.752,150.516,Normal,None
47.173,-17.501,1.435,138.893,Normal,None
-12.661,38.523,0.357,151.188,Normal,None
32.843,9.617,-1.376,39.397,Normal,None
-15.752,-1.333,-2.267,64.329,Normal,None
7.735,22.053,2.569,87.74,Normal,None
-25.991,-34.6,-2.454,111.064,Normal,None
28.271,17.071,-0.749,41.971,Normal,None
30.982,-13.143,-0.127,194.179,Normal,None
48.017,-46.118,-0.019,127.984,Normal,None
11.949,43.304,-2.01,71.58,Normal,None
-42.84,35.934,-4.867,117.918,Normal,None
-17.296,-20.042,0.797,225.791,Normal,None
5.114,-33.48,1.869,139.647,Normal,None
-27.773,-46.997,-4.744,156.911,Normal,None
14.653,40.145,3.711,246.587,Normal,None
27.971,5.463,-3.958,164.478,Normal,None
26.382,-40.616,0.654,106.034,Normal,None
2.723,-2.191,0.023,144.648,Normal,None
32.185,-45.887,-4.631,23.165,Normal,None
14.719,-33.6,0.046,41.031,Normal,None
-3.034,21.859,-3.644,156.131,Normal,None
34.411,-20.022,-3.963,178.405,Normal,None
21.98,-12.001,0.152,32.318,Normal,None
-36.396,-9.027,2.183,231.944,Normal,None
16.179,13.531,2.378,0.351,Normal,None
-2.779,-40.895,-3.041,45.685,Normal,None
38.061,-38.477,-4.221,120.289,Normal,None
31.154,15.0,4.484,224.3,Normal,None
-33.067,-17.095,-1.399,167.26,Normal,None
-41.578,-12.191,4.022,251.041,Normal,None
35.389,-21.182,-2.504,139.162,Normal,None
45.045,12.112,-2.136,43.857,Normal,None
-39.586,25.525,1.687,113.875,Normal,None
-22.476,0.165,-3.331,11.6,Normal,None
10.35,-16.478,0.641,7.879,Normal,None
-34.538,-28.712,4.565,148.229,Normal,None
-18.035,-35.781,-4.014,39.731,Normal,None
16.917,-43.632,-2.779,17.953,Normal,None
-16.702,-37.854,-0.084,204.315,Normal,None
-7.275,20.935,-0.409,26.583,Normal,None
-20.078,10.946,-2.347,121.737,Normal,None
-0.543,18.704,-0.662,109.607,Normal,None
14.898,23.088,-3.275,205.824,Normal,None
