Latitude,Longitude,Speed,Heading,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Yaw_Rate,Threat_Type,Attack_Severity
37.8487,-121.571839,7.4,331.62,2.137,-2.761,-0.137,-0.01981,0.09068,0.0851,-3.4,Normal,None
37.52992,-121.885729,17.71,229.45,-2.013,-0.501,-0.306,-0.05874,-0.06743,-0.09548,-4.34,Normal,None
37.804641,-121.72831,20.51,338.46,-1.265,2.331,-0.272,0.02619,-0.0761,-0.00734,-1.64,Normal,None
37.917168,-121.013011,12.39,278.08,-1.871,-2.315,-0.261,-0.00097,0.07076,-0.0363,0.69,Normal,None
37.182691,-121.496667,28.74,194.39,0.845,-1.113,-0.089,-0.01383,0.01422,-0.08924,-4.0,Normal,None
37.690865,-121.799208,23.84,175.17,1.071,-0.773,-0.355,0.06441,-0.02597,0.04451,-0.4,Normal,None
37.062229,-121.144466,9.07,220.15,-2.167,-2.96,0.814,0.03763,-0.01147,0.03354,0.35,Normal,None
37.144446,-121.509165,13.59,198.27,-1.991,-1.523,-0.286,-0.07071,0.07165,0.0193,-0.61,Normal,None
37.340424,-121.138428,26.42,251.05,0.354,-2.065,-0.523,-0.06693,0.03049,0.02688,3.73,Normal,None
37.625086,-121.555187,16.75,272.81,-0.833,-1.118,-0.999,-0.02493,0.04171,0.02885,-2.53,Normal,None
37.456607,-121.541187,12.22,229.14,-1.6,-1.147,-0.374,0.01197,0.06705,-0.039,3.36,Normal,None
37.520172,-121.388207,28.62,158.09,-2.358,0.997,0.304,0.01162,-0.03962,-0.07861,-3.23,Normal,None
37.942646,-121.647033,9.61,225.73,-0.441,1.953,-0.395,0.05815,-0.03596,-0.05079,-2.87,Normal,None
37.580824,-121.978251,27.5,309.0,0.105,-0.61,0.063,0.05382,0.04274,-0.09779,-2.84,Normal,None
37.859952,-121.524897,19.47,216.3,1.513,0.763,0.444,-0.08278,-0.07008,0.03032,4.99,Normal,None
37.726611,-121.978947,10.56,233.33,-2.795,2.885,-0.877,0.03751,0.08695,-0.0615,-4.48,Normal,None
37.869619,-121.491739,16.71,355.52,0.928,-0.048,0.8,-0.06092,0.09248,-0.08885,0.37,Normal,None
37.119213,-121.68311,0.19,4.08,-0.136,0.53,-0.696,0.08682,-0.02342,0.05899,-2.66,Normal,None
37.707021,-121.265859,19.69,66.22,-1.448,2.413,-0.437,-0.05443,-0.0358,0.01598,2.66,Normal,None
37.455154,-121.367097,0.44,198.95,1.025,-2.411,0.693,-0.03715,0.00782,0.01245,-4.81,Normal,None
37.772506,-121.478265,1.33,274.3,-2.513,1.465,-0.827,0.01067,0.03746,-0.06865,0.08,Normal,None
37.615998,-121.673353,22.2,298.89,1.474,0.127,0.187,-0.05925,-0.08826,0.07568,3.54,Normal,None
37.152464,-121.375461,8.65,15.32,-0.395,-0.001,0.469,-0.07501,0.01481,0.02108,-3.19,Normal,None
37.495487,-121.291961,15.53,6.61,2.613,1.686,0.789,-0.08016,0.03384,-0.03494,0.9,Normal,None
37.669629,-121.412335,1.35,6.15,2.44,-0.459,0.805,0.03848,-0.03506,0.07962,-2.53,Normal,None
37.821542,-121.703754,23.82,141.43,-0.553,-1.136,0.04,-0.03082,0.0094,0.04887,-4.47,Normal,None
37.89359,-121.232635,8.73,334.89,0.468,-1.146,-0.036,-0.06528,-0.08313,0.06022,-2.21,Normal,None
37.823521,-121.219414,20.54,184.28,1.399,0.972,0.172,0.02294,-0.09241,-0.00267,-1.41,Normal,None
37.917031,-121.222756,10.93,342.13,1.902,-2.434,-0.117,-0.05168,-0.08151,-0.08213,2.48,Normal,None
37.376814,-121.81664,7.78,136.06,-2.899,0.868,0.988,-0.05684,-0.06549,-0.04836,-4.56,Normal,None
37.920931,-121.473968,15.49,270.64,2.464,2.093,-0.89,-0.09411,-0.00184,0.02055,4.85,Normal,None
37.819184,-121.417172,26.66,20.74,-2.065,-2.553,0.603,-0.07735,-0.09281,-0.08792,-3.41,Normal,None
37.97978,-121.436709,22.1,341.55,2.601,0.956,0.438,-0.02076,-0.01214,-0.01261,0.52,Normal,None
37.740113,-121.32828,15.68,273.2,2.309,1.428,0.744,0.07419,0.08464,-0.05751,-1.78,Normal,None
37.393031,-121.672486,3.73,187.02,1.513,0.168,-0.148,0.03963,0.06391,-0.01716,-1.74,Normal,None
